"BehaviorSpace results (NetLogo 6.1.1)"
"COVID-19_Urban_and_Rural_Model.nlogo"
"experiment"
"08/29/2020 15:39:32:078 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","1","1","1","1","1","1","2","2","2","2","2","2","3","3","3","3","3","3","4","4","4","4","4","4","5","5","5","5","5","5","6","6","6","6","6","6","7","7","7","7","7","7","8","8","8","8","8","8"
"[all run data]","(count people with [epi-status = ""susceptible""] / total-num) * 100","(count people with [epi-status = ""exposed"" or epi-status = ""infectious""] / total-num) * 100","(count people with [epi-status = ""immune""] / total-num) * 100","(count people with [epi-status = ""dead""] / total-num) * 100","total-num-infected","infections-today","(count people with [epi-status = ""susceptible""] / total-num) * 100","(count people with [epi-status = ""exposed"" or epi-status = ""infectious""] / total-num) * 100","(count people with [epi-status = ""immune""] / total-num) * 100","(count people with [epi-status = ""dead""] / total-num) * 100","total-num-infected","infections-today","(count people with [epi-status = ""susceptible""] / total-num) * 100","(count people with [epi-status = ""exposed"" or epi-status = ""infectious""] / total-num) * 100","(count people with [epi-status = ""immune""] / total-num) * 100","(count people with [epi-status = ""dead""] / total-num) * 100","total-num-infected","infections-today","(count people with [epi-status = ""susceptible""] / total-num) * 100","(count people with [epi-status = ""exposed"" or epi-status = ""infectious""] / total-num) * 100","(count people with [epi-status = ""immune""] / total-num) * 100","(count people with [epi-status = ""dead""] / total-num) * 100","total-num-infected","infections-today","(count people with [epi-status = ""susceptible""] / total-num) * 100","(count people with [epi-status = ""exposed"" or epi-status = ""infectious""] / total-num) * 100","(count people with [epi-status = ""immune""] / total-num) * 100","(count people with [epi-status = ""dead""] / total-num) * 100","total-num-infected","infections-today","(count people with [epi-status = ""susceptible""] / total-num) * 100","(count people with [epi-status = ""exposed"" or epi-status = ""infectious""] / total-num) * 100","(count people with [epi-status = ""immune""] / total-num) * 100","(count people with [epi-status = ""dead""] / total-num) * 100","total-num-infected","infections-today","(count people with [epi-status = ""susceptible""] / total-num) * 100","(count people with [epi-status = ""exposed"" or epi-status = ""infectious""] / total-num) * 100","(count people with [epi-status = ""immune""] / total-num) * 100","(count people with [epi-status = ""dead""] / total-num) * 100","total-num-infected","infections-today","(count people with [epi-status = ""susceptible""] / total-num) * 100","(count people with [epi-status = ""exposed"" or epi-status = ""infectious""] / total-num) * 100","(count people with [epi-status = ""immune""] / total-num) * 100","(count people with [epi-status = ""dead""] / total-num) * 100","total-num-infected","infections-today"
,"99.97260273972603","0.0273972602739726","0","0","0","0","99.97260273972603","0.0273972602739726","0","0","0","0","99.97260273972603","0.0273972602739726","0","0","0","0","99.97260273972603","0.0273972602739726","0","0","0","0","99.97260273972603","0.0273972602739726","0","0","0","0","99.97260273972603","0.0273972602739726","0","0","0","0","99.97260273972603","0.0273972602739726","0","0","0","0","99.97260273972603","0.0273972602739726","0","0","0","0"
,"99.97260273972603","0.0273972602739726","0","0","0","0","99.97260273972603","0.0273972602739726","0","0","0","0","99.97260273972603","0.0273972602739726","0","0","0","0","99.97260273972603","0.0273972602739726","0","0","0","0","99.97260273972603","0.0273972602739726","0","0","0","0","99.97260273972603","0.0273972602739726","0","0","0","0","99.97260273972603","0.0273972602739726","0","0","0","0","99.97260273972603","0.0273972602739726","0","0","0","0"
,"99.97260273972603","0.0273972602739726","0","0","0","0","99.97260273972603","0.0273972602739726","0","0","0","0","99.97260273972603","0.0273972602739726","0","0","0","0","99.97260273972603","0.0273972602739726","0","0","0","0","99.97260273972603","0.0273972602739726","0","0","0","0","99.97260273972603","0.0273972602739726","0","0","0","0","99.97260273972603","0.0273972602739726","0","0","0","0","99.97260273972603","0.0273972602739726","0","0","0","0"
,"99.97260273972603","0.0273972602739726","0","0","0","0","99.97260273972603","0.0273972602739726","0","0","0","0","99.97260273972603","0.0273972602739726","0","0","0","0","99.97260273972603","0.0273972602739726","0","0","0","0","99.97260273972603","0.0273972602739726","0","0","0","0","99.97260273972603","0.0273972602739726","0","0","0","0","99.97260273972603","0.0273972602739726","0","0","0","0","99.97260273972603","0.0273972602739726","0","0","0","0"
,"99.97260273972603","0.0273972602739726","0","0","0","0","99.95433789954338","0.045662100456621","0","0","3","3","99.97260273972603","0.0273972602739726","0","0","0","0","99.97260273972603","0.0273972602739726","0","0","0","0","99.97260273972603","0.0273972602739726","0","0","0","0","99.97260273972603","0.0273972602739726","0","0","0","0","99.97260273972603","0.0273972602739726","0","0","0","0","99.97260273972603","0.0273972602739726","0","0","0","0"
,"99.97260273972603","0.0273972602739726","0","0","0","0","99.93607305936074","0.0639269406392694","0","0","5","2","99.97260273972603","0.0273972602739726","0","0","0","0","99.96347031963471","0.0365296803652968","0","0","2","2","99.87214611872146","0.1278538812785388","0","0","12","12","99.95433789954338","0.045662100456621","0","0","4","4","99.97260273972603","0.0273972602739726","0","0","0","0","99.97260273972603","0.0273972602739726","0","0","0","0"
,"99.96347031963471","0.0365296803652968","0","0","2","2","99.8812785388128","0.1187214611872146","0","0","12","7","99.97260273972603","0.0273972602739726","0","0","0","0","99.94520547945206","0.0547945205479452","0","0","4","2","99.83561643835617","0.16438356164383564","0","0","16","4","99.9269406392694","0.0730593607305936","0","0","7","3","99.97260273972603","0.0273972602739726","0","0","0","0","99.97260273972603","0.0273972602739726","0","0","0","0"
,"99.95433789954338","0.045662100456621","0","0","3","1","99.81735159817352","0.182648401826484","0","0","19","7","99.96347031963471","0.0365296803652968","0","0","2","2","99.86301369863013","0.136986301369863","0","0","14","10","99.63470319634703","0.365296803652968","0","0","38","22","99.77168949771689","0.228310502283105","0","0","24","17","99.97260273972603","0.0273972602739726","0","0","2","2","99.97260273972603","0.0273972602739726","0","0","0","0"
,"99.94520547945206","0.0547945205479452","0","0","4","1","99.45205479452055","0.547945205479452","0","0","59","40","99.95433789954338","0.045662100456621","0","0","4","2","99.79908675799086","0.2009132420091324","0","0","22","8","99.33333333333333","0.6666666666666667","0","0","72","34","99.57990867579909","0.4200913242009132","0","0","46","22","99.96347031963471","0.0365296803652968","0","0","3","1","99.96347031963471","0.0365296803652968","0","0","3","3"
